,Area (m²),Quartos,Idade (anos),Distância Centro (km),Garagens,Banheiros,Andar,Vista_Mar,Mobilidade,Segurança,Area_Construida (m²),Total_Comodos,Zona,Preço (R$ mil),Area_Total (m²)
45,159.4,2,0,4.9,0,2,3,0,6,10,135.6,4,Centro,987.0,295.0
46,200.7,4,21,7.9,1,4,1,0,1,8,174.0,8,Intermediária,953.2,374.7
47,137.5,2,14,3.7,0,1,,0,4,8,110.1,3,Centro,801.3,247.6
48,117.6,4,2,4.5,1,4,1,0,6,9,105.9,8,Centro,1179.6,223.5
49,87.8,2,2,2.3,0,4,4,0,3,10,76.9,4,Centro,809.1,164.7
50,32.2,4,23,6.7,1,4,20,0,3,9,31.7,8,Intermediária,924.1,63.8
51,104.5,4,11,1.6,1,4,1,0,1,10,81.6,8,Centro,840.3,186.1
52,122.0,3,8,3.0,1,2,22,1,6,9,110.5,5,Centro,978.8,232.5
53,77.0,2,14,3.1,1,2,,0,9,9,64.1,4,Centro,736.4,141.0
54,170.0,4,0,2.2,2,4,4,1,4,10,141.7,8,Centro,1210.8,311.7
55,84.6,2,17,7.0,0,1,21,0,3,8,81.8,3,Intermediária,498.5,166.5
56,119.5,3,1,10.3,1,2,10,0,1,7,104.1,5,Intermediária,516.2,223.6
57,101.6,5,0,7.7,2,4,6,1,10,8,86.9,9,Intermediária,1284.8,188.5
58,278.2,4,5,3.9,3,3,4,0,1,10,232.9,7,Centro,1303.9,511.1
59,261.6,5,22,11.6,2,4,21,0,6,8,224.5,9,Intermediária,1274.9,486.1
60,168.1,6,3,8.9,2,4,12,0,10,8,142.4,10,Intermediária,1234.3,310.5
61,121.0,3,11,7.2,2,2,,0,1,7,101.9,5,Intermediária,734.1,222.8
62,152.8,3,5,3.4,1,3,14,0,6,8,129.2,6,Centro,1061.2,282.0
63,118.9,1,0,4.4,0,1,19,0,1,9,108.3,2,Centro,648.3,227.2
64,192.0,4,11,4.3,2,4,,0,1,10,162.8,8,Centro,1037.7,354.7
65,175.2,4,0,3.4,3,4,,1,4,10,151.5,8,Centro,1488.4,326.6
66,170.7,3,14,0.9,1,2,14,0,10,9,142.6,5,Centro,1163.9,313.2
67,141.8,2,4,9.0,1,2,16,0,5,7,116.0,4,Intermediária,805.4,257.8
68,155.0,3,14,9.6,2,3,,0,3,7,138.2,6,Intermediária,772.7,293.1
69,190.4,6,8,3.1,2,4,6,0,3,10,156.1,10,Centro,1500.0,346.5
70,393.5,4,7,4.1,1,3,,0,10,8,330.0,7,Centro,1407.2,723.5
71,202.6,2,12,2.1,0,2,5,0,9,9,174.0,4,Centro,1003.8,376.5
72,63.4,3,6,2.7,2,2,,0,2,6,44.7,5,Centro,668.5,108.1
73,116.3,4,0,7.4,1,4,20,0,8,9,96.7,8,Intermediária,1164.1,213.0
74,91.2,4,17,2.4,2,4,6,1,6,10,79.9,8,Centro,1131.9,171.0
75,120.8,3,37,6.7,2,3,,0,7,9,95.2,6,Intermediária,670.2,215.9
76,114.6,4,6,2.5,1,3,,0,8,10,93.4,7,Centro,1252.8,208.0
77,112.8,3,11,10.2,1,2,16,1,5,6,102.8,5,Intermediária,810.4,215.5
78,155.3,3,4,0.7,1,3,,0,3,9,131.8,6,Centro,993.2,287.1
79,117.8,6,0,4.2,1,4,,1,6,10,105.7,10,Centro,1439.3,223.5
80,183.0,1,2,4.5,0,1,,0,4,10,150.4,2,Centro,642.8,333.4
81,103.8,3,28,1.5,2,2,,0,10,10,88.3,5,Centro,806.1,192.1
82,80.2,1,8,1.9,1,1,21,0,1,10,71.0,2,Centro,694.5,151.1
83,117.8,3,12,5.0,1,3,22,0,1,7,107.0,6,Centro,792.2,224.8
84,93.5,2,15,4.2,1,2,19,0,8,8,87.3,4,Centro,988.8,180.9
85,201.2,1,22,6.1,0,1,2,1,10,9,169.6,2,Intermediária,767.1,370.9
86,177.3,3,16,9.6,2,2,8,0,1,7,147.0,5,Intermediária,790.1,324.3
87,218.5,6,8,2.1,1,4,24,0,2,9,179.1,10,Centro,1500.0,397.7
88,74.8,2,3,5.7,0,2,8,0,10,8,68.3,4,Intermediária,731.1,143.2
89,55.0,2,0,3.1,1,2,9,0,7,8,53.2,4,Centro,843.8,108.3
90,288.8,1,10,0.5,1,1,,1,8,10,244.8,2,Centro,1013.9,533.6
91,68.6,3,1,13.0,2,3,,0,8,7,58.6,6,Intermediária,797.5,127.2
92,181.6,3,10,8.3,2,2,,0,8,9,160.7,5,Intermediária,796.5,342.3
93,170.7,3,17,4.3,1,3,,1,7,8,142.6,6,Centro,1167.7,313.4
94,123.2,3,2,2.5,1,2,7,0,6,9,107.6,5,Centro,1118.8,230.7
95,108.1,4,3,5.5,2,4,,1,6,8,85.3,8,Intermediária,1064.1,193.4
96,74.4,4,34,1.7,3,4,,0,6,8,58.0,8,Centro,794.3,132.4
97,220.3,4,2,5.6,1,4,,1,5,8,191.2,8,Intermediária,1255.9,411.6
98,175.6,3,3,0.9,1,3,,0,10,10,145.0,6,Centro,1244.2,320.6
99,400.0,4,3,0.8,1,4,5,0,9,10,339.4,8,Centro,1261.7,739.4
100,115.2,3,7,8.1,1,3,14,0,5,9,103.4,6,Intermediária,862.4,218.7
101,118.3,5,6,14.2,1,4,,1,1,7,107.2,9,Intermediária,1180.9,225.6
102,68.6,2,8,2.8,1,1,,0,1,10,60.8,3,Centro,685.7,129.5
103,169.3,3,11,16.8,2,2,6,0,9,5,147.2,5,Afastada,667.2,316.5
104,40.7,5,14,2.4,1,4,22,0,6,8,34.4,9,Centro,1366.4,75.0
105,50.3,4,30,6.3,1,4,7,0,8,8,41.1,8,Intermediária,806.8,91.4
106,135.5,3,15,9.0,1,3,14,0,3,7,111.8,6,Intermediária,685.4,247.2
107,155.8,2,3,14.0,0,1,,0,3,7,129.0,3,Intermediária,400.2,284.8
108,89.2,3,2,4.0,3,3,,0,8,10,79.9,6,Centro,1004.2,169.0
109,68.7,,7,6.6,1,2,7,0,3,6,58.1,5,Intermediária,750.6,126.8
110,123.6,5,2,5.0,2,4,,0,7,8,105.3,9,Intermediária,1049.0,228.9
111,85.1,3,5,1.6,1,2,10,0,3,8,76.5,5,Centro,1117.5,161.6
112,84.0,4,7,4.6,1,3,4,0,1,10,65.3,7,Centro,981.4,149.3
113,155.9,2,10,1.7,1,2,,0,10,8,129.7,4,Centro,884.3,285.6
114,400.0,6,6,2.2,3,4,,0,7,10,334.2,10,Centro,1500.0,734.2
115,89.0,3,2,13.0,1,3,4,0,3,7,76.9,6,Intermediária,805.5,165.9
116,121.9,2,44,6.6,1,2,20,0,9,6,111.2,4,Intermediária,497.6,233.0
117,127.5,3,2,6.9,1,3,19,0,7,10,104.7,6,Intermediária,1076.7,232.2
118,77.2,4,7,2.7,2,4,15,0,3,10,53.5,8,Centro,1120.3,130.7
119,108.4,4,3,8.4,1,4,,0,8,9,97.7,8,Intermediária,936.9,206.1
120,111.0,3,8,6.7,2,3,,1,6,9,94.3,6,Intermediária,947.3,205.3
121,107.3,2,3,4.5,1,2,24,0,4,8,94.3,4,Centro,914.0,201.6
122,91.2,2,0,8.1,0,2,10,0,10,8,80.2,4,Intermediária,688.3,171.4
123,138.7,2,3,12.8,1,2,19,1,4,7,122.5,4,Intermediária,722.7,261.2
124,114.4,4,0,4.3,1,4,24,0,4,8,88.3,8,Centro,1029.0,202.7
125,39.2,2,12,4.6,1,2,4,0,9,9,38.8,4,Centro,726.4,78.0
126,356.1,3,3,2.7,1,2,,0,9,9,305.1,5,Centro,1085.2,661.2
127,75.0,3,5,7.7,2,3,1,1,9,8,62.9,6,Intermediária,838.9,137.9
128,67.6,3,7,3.6,1,3,,0,9,9,50.4,6,Centro,934.7,118.0
129,40.0,6,24,2.5,2,4,,1,9,9,35.7,10,Centro,1267.3,75.7
130,295.7,3,8,1.0,1,3,,0,7,9,249.9,6,Centro,1156.5,545.6
131,73.7,4,1,3.6,2,4,23,0,1,8,59.0,8,Centro,1078.1,132.7
132,46.7,4,3,2.7,1,4,2,1,5,7,37.6,8,Centro,1242.4,84.3
133,90.4,3,6,4.8,2,3,,0,7,9,80.8,6,Centro,1063.3,171.2
134,165.3,5,0,1.6,1,4,4,0,1,10,140.8,9,Centro,1438.1,306.1
135,94.8,2,2,7.7,0,1,19,0,5,7,84.1,3,Intermediária,751.5,178.9
136,46.7,2,6,2.5,1,2,,0,9,10,36.2,4,Centro,770.7,83.0
137,106.3,4,0,6.4,1,4,14,0,6,9,87.8,8,Intermediária,950.8,194.1
138,76.4,3,6,4.0,1,2,,0,3,9,61.1,5,Centro,887.2,137.5
139,167.6,4,15,7.0,1,4,11,0,7,9,136.1,8,Intermediária,934.0,303.7
140,103.3,2,17,5.0,1,2,13,0,7,10,88.2,4,Intermediária,713.4,191.5
141,146.9,3,15,4.7,1,3,23,0,7,7,123.4,6,Centro,916.6,270.3
142,189.2,4,9,11.8,1,4,,0,9,9,159.0,8,Intermediária,1057.4,348.2
143,127.8,3,4,2.2,2,3,16,0,9,10,106.4,6,Centro,1084.6,234.2
144,131.5,5,0,4.2,1,4,,0,8,10,110.2,9,Centro,1422.0,241.7
145,151.6,4,5,5.7,1,3,6,0,6,8,123.6,7,Intermediária,951.9,275.2
146,137.2,1,4,1.2,1,1,4,0,4,9,116.2,2,Centro,775.5,253.4
147,68.7,3,9,2.0,2,3,13,0,6,10,63.0,6,Centro,1028.6,131.7
148,59.5,2,12,4.1,1,1,22,0,5,8,50.3,3,Centro,727.3,109.8
149,400.0,3,6,14.3,3,3,9,0,6,7,340.2,6,Intermediária,963.3,740.2
150,373.8,4,3,9.1,2,4,,0,8,6,310.1,8,Intermediária,1233.6,683.9
151,51.0,3,0,2.5,3,3,,1,5,9,41.5,6,Centro,948.5,92.4
152,87.8,3,28,8.1,3,2,,0,2,6,75.3,5,Intermediária,536.1,163.1
153,140.9,1,13,9.4,1,1,,0,10,7,123.4,2,Intermediária,406.4,264.3
154,138.4,2,14,16.9,1,2,9,0,4,4,112.3,4,Afastada,423.6,250.7
155,138.8,3,31,13.8,1,3,,0,6,5,118.9,6,Intermediária,469.0,257.7
156,74.0,4,10,5.0,2,3,21,0,9,9,66.7,7,Centro,1000.4,140.7
157,101.6,3,15,0.9,1,3,,0,10,9,93.6,6,Centro,930.8,195.3
158,213.4,3,9,7.1,3,3,17,0,2,7,192.5,6,Intermediária,910.9,406.0
159,127.6,2,21,2.7,0,2,22,0,9,10,115.6,4,Centro,760.6,243.2
160,95.3,3,7,6.4,1,3,4,1,4,8,83.9,6,Intermediária,856.1,179.2
161,73.2,2,3,1.0,1,2,2,0,5,9,67.9,4,Centro,888.1,141.2
162,190.7,2,1,17.9,1,2,10,0,7,6,163.5,4,Afastada,682.9,354.2
163,130.9,3,3,3.7,2,3,3,0,2,9,105.9,6,Centro,843.0,236.8
164,101.1,4,1,4.8,1,4,1,0,9,8,88.8,8,Centro,1133.6,189.9
165,160.2,3,42,8.6,1,3,1,0,1,8,140.3,6,Intermediária,542.6,300.5
166,114.8,5,0,1.7,3,4,,0,5,10,94.2,9,Centro,1275.4,208.9
167,48.9,3,1,2.9,2,3,5,0,2,8,38.6,6,Centro,896.4,87.5
168,167.2,4,16,7.9,2,4,17,0,4,7,137.4,8,Intermediária,1014.4,304.6
169,400.0,4,0,3.0,1,4,11,0,1,9,342.9,8,Centro,1361.2,742.9
170,65.6,3,4,3.5,1,2,4,0,7,10,53.6,5,Centro,965.7,119.2
171,149.7,3,6,2.9,3,2,7,0,5,8,130.5,5,Centro,1171.1,280.1
172,90.3,5,20,1.5,2,4,14,0,4,8,80.7,9,Centro,967.3,171.0
173,230.1,3,14,5.0,1,3,14,0,7,8,184.9,6,Centro,1114.5,415.0
174,130.9,2,11,6.0,1,1,20,0,6,8,115.5,3,Intermediária,806.9,246.4
175,179.1,1,14,4.5,1,1,7,1,2,6,146.2,2,Centro,802.1,325.3
176,49.4,3,27,4.2,1,2,,0,9,8,48.4,5,Centro,662.0,97.7
177,98.5,2,1,3.7,1,2,,0,10,8,83.0,4,Centro,870.5,181.5
178,53.4,5,15,1.7,3,4,,0,6,9,41.7,9,Centro,1268.0,95.1
179,95.4,3,23,7.6,1,3,11,0,6,7,83.2,6,Intermediária,643.4,178.6
180,137.3,3,8,5.6,2,2,17,0,1,9,118.5,5,Intermediária,867.5,255.8
181,153.0,4,4,4.0,1,3,10,0,1,10,132.8,7,Centro,1147.9,285.9
182,126.2,4,6,2.2,1,3,10,1,2,10,95.7,7,Centro,1102.0,221.8
183,155.0,3,7,1.7,1,3,,0,10,8,127.1,6,Centro,1023.3,282.2
184,94.9,4,0,6.2,3,4,14,0,5,10,80.4,8,Intermediária,1184.2,175.3
185,61.5,4,0,5.8,1,4,15,0,4,8,54.0,8,Intermediária,982.1,115.5
186,130.5,4,31,8.8,2,4,,1,9,7,125.3,8,Intermediária,818.3,255.8
187,115.0,1,11,1.6,1,1,17,1,1,10,101.6,2,Centro,830.1,216.6
188,289.6,3,3,3.7,1,2,20,0,9,9,240.6,5,Centro,1208.8,530.2
189,217.3,3,11,4.4,1,2,13,0,7,8,180.2,5,Centro,912.5,397.5
190,219.6,5,12,1.2,2,4,19,0,9,10,176.0,9,Centro,1500.0,395.6
191,89.4,3,20,3.9,2,3,,0,7,9,70.1,6,Centro,760.7,159.6
192,122.8,3,8,4.0,1,3,24,1,2,10,104.7,6,Centro,972.7,227.6
193,146.5,2,2,16.1,1,2,2,0,2,5,119.1,4,Afastada,295.4,265.6
194,73.6,3,8,0.8,1,2,7,1,9,10,63.4,5,Centro,891.6,137.0
195,68.8,2,13,20.6,1,2,17,0,9,5,52.8,4,Afastada,434.9,121.7
196,83.4,4,6,20.2,2,4,12,0,7,4,70.9,8,Afastada,605.5,154.3
197,81.7,3,1,1.1,1,3,21,0,9,8,71.9,6,Centro,1095.3,153.6
198,157.9,2,6,6.7,1,2,6,0,4,7,134.3,4,Intermediária,731.6,292.1
199,143.6,3,4,0.8,1,3,,0,10,8,116.1,6,Centro,838.0,259.7
200,118.8,3,0,2.0,2,3,15,0,2,8,105.1,6,Centro,979.6,223.9
201,129.0,2,13,0.6,1,2,,0,3,10,106.5,4,Centro,893.4,235.5
202,115.6,3,7,2.8,2,3,23,0,10,10,102.3,6,Centro,1292.6,217.9
203,101.0,3,3,6.3,2,3,,0,7,8,81.6,6,Intermediária,799.2,182.6
204,98.9,3,6,8.1,2,3,2,0,9,10,83.1,6,Intermediária,1046.0,181.9
205,48.8,1,11,3.3,1,1,,0,6,10,40.2,2,Centro,602.7,88.9
206,105.8,3,6,7.5,1,2,21,0,9,6,95.1,5,Intermediária,806.3,200.8
207,100.8,3,4,3.0,3,3,,0,2,9,88.3,6,Centro,935.5,189.2
208,86.6,3,17,4.1,1,3,6,0,6,8,71.4,6,Centro,865.1,158.0
209,88.9,2,7,3.9,0,1,12,1,5,8,73.2,3,Centro,743.1,162.1
210,124.0,6,2,14.7,1,4,14,1,4,5,97.9,10,Intermediária,1197.1,221.9
211,100.4,3,10,5.1,1,3,4,1,1,8,84.0,6,Intermediária,1094.7,184.4
212,177.3,3,7,9.5,2,3,7,0,6,9,145.1,6,Intermediária,857.6,322.4
213,58.7,2,4,5.8,1,2,6,0,2,9,62.2,4,Intermediária,799.1,120.9
214,194.7,3,1,14.1,1,2,,0,7,6,167.3,5,Intermediária,688.8,362.0
215,235.2,5,1,3.3,1,4,11,0,8,10,191.4,9,Centro,1356.9,426.6
216,179.8,2,21,6.2,0,2,14,0,8,9,149.8,4,Intermediária,718.8,329.5
217,40.9,3,16,2.4,3,3,,0,5,10,24.5,6,Centro,958.4,65.4
218,135.3,5,1,18.9,3,4,,1,4,6,115.4,9,Afastada,1053.6,250.7
219,67.4,4,5,9.4,2,4,16,1,3,8,53.7,8,Intermediária,996.5,121.2
220,76.7,6,16,4.3,1,4,22,0,6,9,60.0,10,Centro,1280.9,136.7
221,100.8,5,8,8.3,1,4,,0,3,7,85.8,9,Intermediária,897.4,186.6
222,131.7,2,5,12.1,0,2,15,0,8,8,116.2,4,Intermediária,680.1,248.0
223,186.9,4,6,1.7,1,3,13,0,1,9,152.9,7,Centro,1063.6,339.8
224,134.9,5,9,8.2,1,4,17,1,6,7,117.1,9,Intermediária,1152.4,251.9
225,88.7,3,5,9.6,2,2,18,0,3,7,70.1,5,Intermediária,693.7,158.9
226,264.2,3,6,4.9,2,3,24,0,8,7,221.3,6,Centro,1249.1,485.5
227,211.7,3,15,1.4,2,3,9,0,2,10,177.8,6,Centro,1146.4,389.5
228,54.6,3,3,3.0,3,3,3,0,6,10,42.8,6,Centro,951.8,97.5
229,47.2,4,23,2.4,1,4,12,0,5,9,39.9,8,Centro,820.8,87.1
230,57.8,4,3,3.3,1,4,4,1,1,9,55.4,8,Centro,1081.8,113.3
231,101.0,3,23,5.3,1,3,9,1,6,8,87.8,6,Intermediária,863.2,188.9
232,0.0,5,2,3.4,1,4,,0,8,8,82.1,9,Centro,1285.3,82.1
233,51.1,5,6,1.9,3,4,,0,5,10,42.0,9,Centro,1347.9,93.1
234,248.8,4,0,9.4,1,4,,1,1,8,215.8,8,Intermediária,1299.2,464.5
235,64.1,4,15,3.7,2,4,14,0,6,8,52.2,8,Centro,1074.1,116.3
236,95.3,3,0,7.4,2,3,,0,7,9,87.3,6,Intermediária,711.9,182.6
237,99.5,3,6,5.8,1,2,8,0,7,10,77.5,5,Intermediária,932.6,177.0
238,207.6,3,5,4.3,2,3,9,0,10,9,174.9,6,Centro,1337.3,382.6
239,178.5,5,7,12.6,1,4,10,0,7,6,155.9,9,Intermediária,1084.1,334.5
240,49.4,3,9,12.3,1,3,5,0,7,9,41.4,6,Intermediária,643.2,90.8
241,50.3,6,44,6.4,2,4,,0,7,8,32.3,10,Intermediária,791.8,82.6
242,137.5,4,10,4.1,2,3,17,0,2,9,128.0,7,Centro,1080.4,265.6
243,160.3,4,1,6.4,1,4,,0,10,9,124.4,8,Intermediária,1141.3,284.7
244,156.7,5,11,1.5,1,4,,0,10,9,139.3,9,Centro,1221.7,296.0
245,165.3,1,6,19.9,1,1,,0,4,5,145.8,2,Afastada,199.1,311.1
246,240.2,3,1,4.1,1,2,2,1,6,8,206.7,5,Centro,1198.8,447.0
247,202.1,1,12,4.0,0,1,,0,10,10,166.6,2,Centro,811.9,368.7
248,233.5,3,17,8.8,2,2,8,0,8,8,209.8,5,Intermediária,1118.7,443.2
249,162.3,6,2,2.7,3,4,,0,4,10,139.4,10,Centro,1500.0,301.7
250,400.0,3,0,1.9,1,2,,0,4,10,341.1,5,Centro,1416.4,741.1
251,197.9,2,7,8.6,1,2,,0,7,7,171.9,4,Intermediária,699.3,369.8
252,114.5,2,9,13.9,1,1,,1,4,5,100.5,3,Intermediária,498.4,214.9
253,203.8,2,13,4.9,1,2,24,0,4,9,168.4,4,Centro,918.3,372.2
254,85.0,1,2,5.8,0,1,11,0,1,8,70.9,2,Intermediária,585.6,155.9
255,152.0,2,8,0.9,1,2,17,0,10,8,129.0,4,Centro,825.7,280.9
256,149.9,4,11,0.9,2,3,14,0,4,10,126.0,7,Centro,1085.8,275.9
257,177.5,6,45,24.7,2,4,14,1,1,4,155.7,10,Afastada,643.0,333.2
258,68.8,2,1,8.0,0,2,,1,7,8,55.9,4,Intermediária,657.4,124.7
259,217.4,3,0,12.8,3,3,,0,4,6,174.7,6,Intermediária,933.1,392.1
260,112.8,1,9,9.0,1,1,,0,8,8,98.5,2,Intermediária,451.3,211.3
261,219.5,3,2,4.8,2,2,15,0,7,8,185.8,5,Centro,1088.2,405.4
262,129.3,1,2,16.6,1,1,5,1,1,7,110.2,2,Afastada,297.2,239.5
263,135.2,2,4,6.3,1,2,,0,1,8,112.8,4,Intermediária,624.5,248.0
264,105.2,2,19,7.8,0,1,2,0,5,9,93.8,3,Intermediária,403.4,199.0
265,102.9,3,0,22.4,1,3,,0,10,4,86.0,6,Afastada,497.7,188.9
266,149.2,2,20,3.2,0,1,,0,8,10,132.0,3,Centro,735.3,281.1
267,103.4,3,0,3.4,2,3,9,1,4,8,74.1,6,Centro,1121.5,177.5
268,52.7,3,14,5.8,1,3,4,0,1,8,51.6,6,Intermediária,629.0,104.3
269,114.2,3,15,2.4,1,3,20,0,6,9,92.9,6,Centro,952.7,207.2
270,33.3,1,15,3.2,0,1,2,1,10,10,25.5,2,Centro,816.5,58.8
271,69.3,3,2,5.7,1,3,,0,2,10,59.4,6,Intermediária,748.6,128.7
272,73.7,4,1,0.9,1,3,24,0,2,10,60.5,7,Centro,1118.3,134.2
273,162.3,2,23,6.2,1,1,,0,10,9,140.9,3,Intermediária,688.3,303.2
274,400.0,2,7,6.2,1,1,15,0,1,8,343.1,3,Intermediária,912.3,743.1
275,97.0,3,24,2.6,2,3,,0,9,9,78.6,6,Centro,786.5,175.7
276,142.8,4,6,2.9,1,4,2,0,7,8,126.4,8,Centro,878.2,269.2
277,225.6,3,2,5.6,1,3,11,0,2,9,186.4,6,Intermediária,877.9,412.0
278,137.0,2,4,5.1,1,2,24,0,9,8,124.3,4,Intermediária,1028.5,261.3
279,52.8,6,2,21.3,1,4,24,0,2,8,45.3,10,Afastada,725.2,98.1
280,87.6,2,2,1.9,0,1,17,1,6,7,73.0,3,Centro,839.9,160.5
281,155.7,4,4,3.9,3,4,18,0,8,7,131.5,8,Centro,1422.0,287.2
282,162.0,4,4,17.0,1,4,17,0,6,6,141.7,8,Afastada,799.1,303.7
283,342.3,2,3,5.9,1,2,,0,1,8,282.3,4,Intermediária,776.5,624.6
284,151.2,4,25,10.1,1,4,,0,9,6,120.7,8,Intermediária,931.3,271.9
285,271.9,3,14,4.4,1,3,,0,7,8,221.4,6,Centro,1182.3,493.2
286,82.3,1,0,1.8,1,1,15,1,3,9,72.7,2,Centro,722.8,154.9
287,38.4,5,2,8.0,1,4,3,0,10,9,30.1,9,Intermediária,852.3,68.6
288,129.3,3,11,2.2,2,3,20,0,8,10,104.8,6,Centro,1216.7,234.1
289,400.0,3,2,5.2,2,3,4,1,6,9,338.8,6,Intermediária,1122.7,738.8
290,83.1,3,3,3.4,2,2,9,0,7,8,63.9,5,Centro,947.4,147.1
291,340.5,2,10,11.5,0,2,24,0,6,7,294.7,4,Intermediária,824.1,635.1
292,191.6,5,12,0.7,2,4,,1,1,9,162.8,9,Centro,1144.6,354.4
293,108.8,4,7,3.0,1,4,16,0,7,9,89.1,8,Centro,1031.5,197.9
294,107.9,6,1,3.2,2,4,,0,6,8,90.1,10,Centro,1191.6,198.0
295,159.4,2,15,0.9,0,2,,0,4,10,132.2,4,Centro,884.0,291.6
296,47.7,3,6,3.1,2,2,18,0,1,8,40.6,5,Centro,1125.8,88.3
297,115.3,2,32,3.7,1,2,,0,4,9,95.8,4,Centro,656.3,211.2
298,161.7,5,6,5.4,2,4,9,1,5,9,147.4,9,Intermediária,1370.5,309.1
299,140.6,2,4,2.4,1,2,,0,8,10,118.5,4,Centro,779.5,259.0
300,147.9,2,11,1.7,0,2,13,0,8,10,128.2,4,Centro,976.0,276.2
301,138.0,2,10,3.6,1,1,1,1,3,9,120.5,3,Centro,727.3,258.5
302,139.1,3,6,8.2,1,3,15,0,8,5,126.3,6,Intermediária,927.2,265.3
303,114.2,4,9,1.9,2,4,5,0,3,10,94.0,8,Centro,975.5,208.2
304,58.6,3,1,3.1,2,3,15,0,7,9,49.9,6,Centro,964.8,108.5
305,180.1,3,1,3.1,1,3,,0,4,9,163.1,6,Centro,977.4,343.2
306,111.0,2,10,8.3,1,1,11,1,2,9,95.9,3,Intermediária,894.9,206.9
